ID,X_begin,Y_begin,Z_begin,X_end,Y_end,Z_end,dCL,sigmaz0,NumLanes,Emis_g_m_s,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom,KPH,FRC,LANES,TruckRoute,METERS,NetworkID,hist_rel_10,hist_rel_22,FFS
130,679539.1976,4164400.086,25.9,679553.1572,4164399.833,26.5,0,2,1,1.51702384697372e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,679553.1572,4164399.833,26.5,679560.4006,4164399.768,26.8,0,2,1,9.68288304106224e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,679560.4006,4164399.768,26.8,679575.856,4164399.77,27.2,0,2,1,2.43198632341962e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,679575.856,4164399.77,27.2,679583.9822,4164399.724,27.4,0,2,1,3.77671725009512e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,679583.9822,4164399.724,27.4,679599.9625,4164399.96,27.7,0,2,1,1.33251322420219e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,679599.9625,4164399.96,27.7,679608.3487,4164400.142,27.8,0,2,1,3.81463472797557e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,679608.3487,4164400.142,27.8,679624.1572,4164400.151,27.9,0,2,1,1.44222887515655e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,679624.1572,4164400.151,27.9,679632.3692,4164400.218,28,0,2,1,7.30556515406027e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,679632.3692,4164400.218,28,679648.4354,4164400.567,27.8,0,2,1,2.67559753746465e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,679648.4354,4164400.567,27.8,679656.8216,4164400.749,27.7,0,2,1,4.2914629184429e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,679656.8216,4164400.749,27.7,679674.2215,4164400.682,27.8,0,2,1,2.0286970204832e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,679674.2215,4164400.682,27.8,679692.4183,4164400.522,28,0,2,1,1.45066012396092e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,679692.4183,4164400.522,28,679706.1989,4164400.377,28.4,0,2,1,6.22316832561901e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,679706.1989,4164400.377,28.4,679710.9706,4164400.258,28.5,0,2,1,1.90397758209792e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,679710.9706,4164400.258,28.5,679729.0743,4164400.318,28.7,0,2,1,3.7945476643922e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,679729.0743,4164400.318,28.7,679738.5246,4164400.301,28.8,0,2,1,1.67180730589345e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,679738.5246,4164400.301,28.8,679756.8884,4164400.588,28.9,0,2,1,1.55720344777345e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,679756.8884,4164400.588,28.9,679766.4221,4164400.795,28.9,0,2,1,3.63883795389051e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,679766.4221,4164400.795,28.9,679784.6976,4164401.081,28.9,0,2,1,1.08328768160258e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,679784.6976,4164401.081,28.9,679794.2338,4164401.177,28.9,0,2,1,2.01328377617003e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,679794.2338,4164401.177,28.9,679812.3255,4164401.792,28.8,0,2,1,1.77324523185916e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,679812.3255,4164401.792,28.8,679830.8561,4164402.527,28.4,0,2,1,1.67659040798702e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,679830.8561,4164402.527,28.4,679844.6223,4164403.048,28,0,2,1,1.90830874135887e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,679844.6223,4164403.048,28,679858.4768,4164403.571,27.5,0,2,1,1.87409950059602e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,679858.4768,4164403.571,27.5,679872.4219,4164403.985,27,0,2,1,1.81945363971919e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,679872.4219,4164403.985,27,679877.1888,4164404.088,26.8,0,2,1,5.82540507175762e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
