ID,X_begin,Y_begin,Z_begin,X_end,Y_end,Z_end,dCL,sigmaz0,NumLanes,Emis_g_m_s,Hw1,dw1,Hw2,dw2,Depth,Wtop,Wbottom,KPH,FRC,LANES,TruckRoute,METERS,NetworkID,hist_rel_10,hist_rel_22,FFS
124,625021.8152,4270144.988,10.9,625019.2723,4270157.158,10.9,0,2,1,8.04320113359847e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,625019.2723,4270157.158,10.9,625016.6441,4270169.216,10.8,0,2,1,8.10291871645492e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,625016.6441,4270169.216,10.8,625013.9322,4270181.05,10.8,0,2,1,1.64729032499074e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,625013.9322,4270181.05,10.8,625011.1332,4270192.883,10.7,0,2,1,1.64473787277159e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,625011.1332,4270192.883,10.7,625008.5119,4270204.497,10.7,0,2,1,1.67982921485461e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,625008.5119,4270204.497,10.7,625005.8923,4270216,10.6,0,2,1,1.69523304434775e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,625005.8923,4270216,10.6,625003.3634,4270227.282,10.8,0,2,1,8.64754771579334e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,625003.3634,4270227.282,10.8,625000.7508,4270238.341,11,0,2,1,8.79882633159469e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,625000.7508,4270238.341,11,624998.4099,4270248.739,11.1,0,2,1,9.38266014448186e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,624998.4099,4270248.739,11.1,624996.0725,4270258.914,11,0,2,1,9.5778257427203e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,624996.0725,4270258.914,11,624993.9146,4270268.759,11,0,2,1,1.98435772673959e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,624993.9146,4270268.759,11,624991.8438,4270278.605,11,0,2,1,1.98770276872734e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,624991.8438,4270278.605,11,624989.9437,4270288.677,10.8,0,2,1,1.95107750420866e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,624989.9437,4270288.677,10.8,624988.042,4270298.859,10.6,0,2,1,1.93048130640241e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,624988.042,4270298.859,10.6,624986.0479,4270309.372,10.5,0,2,1,1.86888752302283e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,624986.0479,4270309.372,10.5,624984.0503,4270320.108,10.6,0,2,1,9.1572493079814e-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,624984.0503,4270320.108,10.6,624982.1572,4270329.735,10.7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,624982.1572,4270329.735,10.7,624980.184,4270338.917,10.9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,624980.184,4270338.917,10.9,624978.4842,4270347.326,10.9,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,624978.4842,4270347.326,10.9,624976.7913,4270355.292,10.8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,624976.7913,4270355.292,10.8,624974.926,4270363.144,10.7,0,2,1,1.23902317971342e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,624974.926,4270363.144,10.7,624972.8898,4270370.771,10.8,0,2,1,1.26665776272126e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,624972.8898,4270370.771,10.8,624971.0435,4270377.402,10.6,0,2,1,1.45218416443957e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,624971.0435,4270377.402,10.6,624969.2913,4270383.59,10.4,0,2,1,1.55402304323022e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,624969.2913,4270383.59,10.4,624967.816,4270388.784,10.3,0,2,1,1.85176659000257e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,624967.816,4270388.784,10.3,624966.6107,4270393.427,10.2,0,2,1,2.08419410984277e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,624966.6107,4270393.427,10.2,624965.7747,4270396.744,10.3,0,2,1,2.92219922664751e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,624965.7747,4270396.744,10.3,624965.2958,4270399.511,10.4,0,2,1,3.55824102742832e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,624965.2958,4270399.511,10.4,624965.3587,4270401.066,10.7,0,2,1,6.30965215738828e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
